18
id: 0 coord: 0 0 linked: 1 9 3
id: 1 coord: 4 0 linked: 0 2 4 3 5
id: 2 coord: 8 0 linked: 1 14 5
id: 3 coord: 2 2 linked: 4 10 0 6 9 1
id: 4 coord: 4 2 linked: 1 3 5 7 6 8
id: 5 coord: 6 2 linked: 4 13 2 8 1 14
id: 6 coord: 3 3 linked: 7 11 3 4 10
id: 7 coord: 4 3 linked: 4 6 8
id: 8 coord: 5 3 linked: 7 12 5 4 13
id: 9 coord: 0 4 linked: 0 10 21 3 18
id: 10 coord: 2 4 linked: 3 9 11 18 6 15
id: 11 coord: 3 4 linked: 6 10 15
id: 12 coord: 5 4 linked: 8 13 17
id: 13 coord: 6 4 linked: 5 12 14 20 8 17
id: 14 coord: 8 4 linked: 2 13 23 5 20
id: 15 coord: 3 5 linked: 11 16 18 10 19
id: 16 coord: 4 5 linked: 15 17 19
id: 17 coord: 5 5 linked: 12 16 20 13 19
id: 18 coord: 2 6 linked: 10 19 15 21 9 22
id: 19 coord: 4 6 linked: 16 18 20 22 15 17
id: 20 coord: 6 6 linked: 13 19 17 23 22 14
id: 21 coord: 0 8 linked: 9 22 18
id: 22 coord: 4 8 linked: 19 21 23 18 20
id: 23 coord: 8 8 linked: 14 22 20
mills:
0 1 2
3 4 5
6 7 8
9 10 11
12 13 14
15 16 17
18 19 20
21 22 23
0 9 21
3 10 18
6 11 15
1 4 7
16 19 22
8 12 17
5 13 20
2 14 23
21 18 15
17 20 23
8 5 2
0 3 6
1 3 9
1 5 14
9 18 22
14 20 22
4 6 10
10 15 19
13 17 19
4 8 13
